,t,EX,IM,GDPVN,GDPHK,GDPPCVN,GDPPCHK,POPVN,POPHK ,REER,Tariff,BTA
,N?m,xu?t kh?u(T? USD),nh?p kh?u (T? USD),GDP c?a VN  (T? USD),GDP c?a Hoa K?  (T? USD),GDP BQ?N VN (USD),GDP BQ?NHK (USD),dân sô? c?a Vi?t Nam (TRI?U),dân sô? c?a Hoa K? (TRI?U), t? giá h?i ?oái ,m?c thu? quan trung bình MFN ,Hi??p ?i?nh Thu?o?ng ma?i song phu?o?ng Vi?t- M? (BTA) 
1,1993,0.00,0.01,13.18,6858.56,182.31,26387.29,72.30,259.92,10640.96,4.71,0.00
2,1994,0.05,0.17,16.29,7287.24,221.13,27694.85,73.65,263.13,10965.67,4.71,0.00
3,1995,0.20,0.25,20.74,7639.75,276.81,28690.88,74.91,266.28,11038.25,4.27,0.00
4,1996,0.33,0.62,24.66,8073.12,324.15,29967.71,76.07,269.39,11032.58,4.11,0.00
5,1997,0.39,0.29,26.84,8577.55,348.02,31459.14,77.13,272.66,11683.33,3.67,0.00
6,1998,0.55,0.27,27.21,9062.82,348.32,32853.68,78.12,275.85,13268.00,3.60,0.00
7,1999,0.61,0.29,28.68,9631.17,362.92,34515.39,79.04,279.04,13943.17,3.89,0.00
8,2000,0.82,0.37,31.17,10250.95,390.09,36329.96,79.91,282.16,14167.75,3.40,0.00
9,2001,1.05,0.46,32.69,10581.93,404.81,37133.62,80.74,284.97,14725.17,3.46,1.00
10,2002,2.39,0.58,35.06,10929.11,430.05,37997.76,81.53,287.63,15279.50,3.33,1.00
11,2003,4.55,1.32,39.55,11456.44,480.58,39490.27,82.30,290.11,15509.58,3.20,1.00
12,2004,5.28,1.11,45.43,12217.19,546.91,41724.63,83.06,292.81,15746.00,2.99,1.00
13,2005,6.63,1.19,57.63,13039.20,687.48,44123.41,83.83,295.52,15858.92,2.96,1.00
14,2006,8.57,1.10,66.37,13815.59,784.37,46302.00,84.62,298.38,15994.25,2.91,1.00
15,2007,10.63,1.90,77.41,14474.23,906.28,48050.22,85.42,301.23,16105.13,2.42,1.00
16,2008,12.90,2.79,99.13,14769.86,1149.42,48570.05,86.24,304.09,16302.25,2.76,1.00
17,2009,12.29,3.10,106.01,14478.06,1217.27,47194.94,87.09,306.77,17065.08,2.82,1.00
18,2010,14.87,3.71,147.20,15048.96,1673.33,48650.64,87.97,309.33,18612.92,2.81,1.00
19,2011,17.49,4.32,172.60,15599.73,1942.09,50065.97,88.87,311.58,20509.75,2.81,1.00
20,2012,20.27,4.62,195.59,16253.97,2178.04,51784.42,89.80,313.88,20828.00,2.79,1.00
21,2013,24.65,5.04,213.71,16843.19,2354.87,53291.13,90.75,316.06,20933.42,2.81,1.00
22,2014,30.62,5.73,233.45,17550.68,2545.42,55123.85,91.71,318.39,21148.00,2.78,1.00
23,2015,38.01,7.10,239.26,18206.02,2581.62,56762.73,92.68,320.74,21697.57,2.79,1.00
24,2016,42.09,10.10,257.10,18695.11,2745.57,57866.74,93.64,323.07,21935.00,2.79,1.00
25,2017,46.48,8.13,281.35,19479.62,2974.12,59914.78,94.60,325.12,22370.09,3.07,1.00
26,2018,49.14,9.68,308.70,20527.16,3230.93,62805.25,95.55,326.84,22602.05,3.19,1.00
27,2019,66.44,0.88,330.39,21372.57,3425.09,65094.80,96.46,328.33,23050.24,17.94,1.00
28,2020,79.54,9.92,343.24,20893.74,3526.27,63027.68,97.34,331.50,23208.37,2.56,1.00
29,2021,101.90,11.01,362.64,22996.10,3694.02,69287.54,98.17,331.89,23159.78,2.56,1.00
